date,new_cases
30-01-2020,1
02-02-2020,1
02-04-2020,1
03-03-2020,2
03-04-2020,1
03-05-2020,22
03-06-2020,1
03-07-2020,2
03-08-2020,3
03-10-2020,10
03-11-2020,6
03-12-2020,23
13-03-2020,2
14-03-2020,8
15-03-2020,7
16-03-2020,3
17-03-2020,32
18-03-2020,12
19-03-2020,28
20-03-2020,26
21-03-2020,40
22-03-2020,89
23-03-2020,119
24-03-2020,53
25-03-2020,70
26-03-2020,87
27-03-2020,75
28-03-2020,149
29-03-2020,106
30-03-2020,92
31-03-2020,180
04-01-2020,146
04-02-2020,568
04-03-2020,336
04-04-2020,601
04-05-2020,472
04-06-2020,693
04-07-2020,354
04-08-2020,773
04-09-2020,540
04-10-2020,678
04-11-2020,1035
04-12-2020,909
13-04-2020,796
14-04-2020,1211
15-04-2020,1075
16-04-2020,942
17-04-2020,1007
18-04-2020,991
19-04-2020,1334
20-04-2020,1553
21-04-2020,1335
22-04-2020,1384
23-04-2020,1409
24-04-2020,1684
25-04-2020,1429
26-04-2020,1990
27-04-2020,1396
28-04-2020,1543
29-04-2020,1897
30-04-2020,1718
05-01-2020,1993
05-02-2020,2293
05-03-2020,2644
05-04-2020,2553
05-05-2020,3900
05-06-2020,2958
05-07-2020,3561
05-08-2020,3390
05-09-2020,3320
05-10-2020,3277
05-11-2020,4213
05-12-2020,3604
13-05-2020,3525
14-05-2020,3722
15-05-2020,3967
16-05-2020,3970
17-05-2020,4987
18-05-2020,5242
19-05-2020,4970
20-05-2020,5611
21-05-2020,5609
22-05-2020,6088
